material_id,asset_source,license
ph_sandstone_blocks_04,https://polyhaven.com/a/sandstone_blocks_04,CC0
ph_sandstone_blocks_05,https://polyhaven.com/a/sandstone_blocks_05,CC0
ph_whitewashed_brick,https://polyhaven.com/a/whitewashed_brick,CC0
ph_worn_brick_wall,https://polyhaven.com/a/worn_brick_wall,CC0
ph_cracked_concrete_wall,https://polyhaven.com/a/cracked_concrete_wall,CC0
ph_concrete_brick_wall_001,https://polyhaven.com/a/concrete_brick_wall_001,CC0
ph_exterior_wall_cladding,https://polyhaven.com/a/exterior_wall_cladding,CC0
